jobID,job_profile,company_name,job_title,job_descriptin,salary,adminID
1,Quality Control Specialist,"Farrell, Wiza and Hoppe",Research Assistant I,justo pellentesque viverra pede ac,$976.41,37314
2,Budget/Accounting Analyst II,Smitham and Sons,Civil Engineer,proin at turpis a pede,$410.68,8
3,Tax Accountant,Harber-Hoppe,Account Representative IV,pede lobortis ligula sit amet,$882.36,454
4,Office Assistant II,"Turcotte, Anderson and Willms",Senior Sales Associate,odio consequat varius integer ac,$744.02,76167
5,Assistant Manager,"Kemmer, Bradtke and Osinski",VP Quality Control,eget eros elementum pellentesque quisque porta,$3.81,84308
6,Financial Analyst,Marvin Group,Senior Sales Associate,vestibulum sit amet cursus id,$364.32,15
7,Data Coordiator,Homenick-Rempel,Product Engineer,id ligula suspendisse ornare consequat lectus,$21.07,1
8,VP Marketing,"McDermott, Simonis and Shanahan",Financial Advisor,amet sem fusce consequat nulla,$557.84,190
9,Graphic Designer,Hamill Inc,Sales Associate,ullamcorper augue a suscipit nulla elit,$214.56,6
10,Compensation Analyst,"Balistreri, Abernathy and Hettinger",Budget/Accounting Analyst III,id sapien in sapien iaculis congue,$299.53,487
